Rozwiązania dla macierzy 1:
x4 = 0,677891482386867
x5 = 0,254369653541301
x6 = -0,0897182830894783
x7 = 0,519352305690073
x8 = 0,494196720316101
x9 = -0,939727729341266
x10 = 0,542796457611719
x11 = -1,6311717480991
x12 = -0,502589946330909
x13 = 0,435876527472035
x14 = 1,13240564491348
x15 = 0,0918926365256463
x16 = -0,396913883118929
x17 = 0,839686198421225
x18 = 0,898638999815215
x19 = 0,135750588344502
x20 = 0,144987274021054
x21 = -0,289464540616029
x22 = 0,356847347493832
x23 = 0,0511363949277862
x24 = -0,561061537956477
x25 = -0,204120304664717
x26 = -0,401069292642813
x27 = 0,797526008761482
x28 = 0,626094703977396
x29 = -0,26418048347093
x30 = -0,122723764887948

Rozwiązania dla macierzy 20:
x1 = 1,29602709400984
x2 = -2,33495117685407
x3 = 0,639879011418338
x4 = -1,7933262339272
x5 = 0,942859149184107
x6 = 0,837078441991304
x7 = 0,287187824575387
x8 = -1,66339077292862
x9 = 0,696640425290659
x10 = -0,562627769388045
x11 = 1,89358179319726
x12 = -1,99103071196805
x13 = 2,15872274739615
x14 = 2,49334456366308
x15 = 2,73165175482486
x16 = -1,2678044768308
x17 = 3,38606367953872
x18 = 3,53997704517783
x19 = -0,186763469838295
x20 = -0,482113892437539
x21 = -0,985122851625244
x22 = -2,4254847960874
x23 = -0,0431452050115843
x24 = -3,5152439909435
x25 = 0,383393792936082
x26 = 0,129853176476439
x27 = -0,28070230393986
x28 = -2,16087398066094
x29 = 1,30443220335039
x30 = -2,14930005089259

Rozwiązania dla macierzy 21:
x1 = 2,99243288783657
x2 = 0,0734564941246847
x3 = 0,680687969877896
x4 = -3,15966085823916
x5 = 0,0417759938810535
x6 = -0,218491343335257
x7 = 3,58115382993554
x8 = 7,549106689072
x9 = -2,02164477254225
x10 = 0,658307548372174
x11 = -0,235897647828288
x12 = -1,52006211620701
x13 = 2,50947080076931
x14 = 1,45080312736549
x15 = 1,85883312194313
x16 = 1,26253227593055
x17 = 3,05819744822738
x18 = 1,50092259732814
x19 = 2,07384586365665
x20 = 1,17298981075816
x21 = 3,85562363893397
x22 = 2,37869474705438
x23 = 1,37075592343906
x24 = 0,587964375244601
x25 = -3,08119652359562
x26 = -2,51532601683439
x27 = -3,23115225689886
x28 = -2,53336873362689
x29 = 0,146254484526479
x30 = -0,0208872984204702

Rozwiązania dla macierzy 22:
x1 = 1,06147263855819
x2 = 0,155270453184008
x3 = -0,1896089876227
x4 = -0,0903568159792854
x5 = -0,291432010042611
x6 = 0,427258374355027
x7 = -0,536124544721389
x8 = -2,18581265633305
x9 = -0,382794353676417
x10 = -1,10195609490548
x11 = -0,334323933137217
x12 = -0,642688086540856
x13 = -2,52788532940987
x14 = 1,48127387794059
x15 = 1,78301259908477
x16 = 0,655489407720419
x17 = 1,2994394556185
x18 = -0,582164316962178
x19 = 0,826066311084992
x20 = -0,336276495511527
x21 = 0,29525133521497
x22 = -0,0727693890559016
x23 = 0,134171449870512
x24 = 1,86937713708087
x25 = 0,370193860898574
x26 = -0,0756812674161391
x27 = 1,59639515261695
x28 = 0,540054036656271
x29 = -1,45834642881623
x30 = 0,330922889188159

Rozwiązania dla macierzy 23:
x1 = 6,65885396707779
x2 = -16,8404754841115
x3 = 10,4198539249974
x4 = -8,17190567658276
x5 = -14,658056368988
x6 = 7,65291169687032
x7 = -3,00743957087319
x8 = -12,6805404022093
x9 = -28,6705218841916
x10 = 6,93840358181913
x11 = 8,06867118052105
x12 = 16,0613314408779
x13 = 0,14445473306634
x14 = 6,04255252195563
x15 = -2,16678500139981
x16 = -4,04272037057383
x17 = -3,49912951424938
x18 = 2,49424305437713
x19 = 12,5252538386573
x20 = 3,41421633370828
x21 = 6,27888794010975
x22 = -9,59737303441782
x23 = -8,54259331474588
x24 = 1,50551595268023
x25 = 5,06574017403803
x26 = 9,41150263374258
x27 = 2,04828052107619
x28 = -2,2727629181037
x29 = 6,19049713947781
x30 = 5,83107159282305

Rozwiązania dla macierzy 24:
x1 = 492,681540130397
x2 = 307,754452079266
x3 = 391,096758368129
x4 = -38,9672730562434
x5 = -496,7918262794
x6 = 407,070243182224
x7 = -300,009453730557
x8 = 169,788086339754
x9 = 68,8719958112743
x10 = 580,466414168037
x11 = 454,332902373807
x12 = -549,961626336466
x13 = -28,5665068499479
x14 = 6,06938614172333
x15 = 540,987188198538
x16 = -221,727325148468
x17 = -647,798674194247
x18 = 77,0265888675898
x19 = 184,495623068359
x20 = 306,714353636046
x21 = -680,423820061814
x22 = -377,17866690787
x23 = -89,0925156799675
x24 = -610,06683350632
x25 = -166,296382571865
